current_team,current_league_country
Villarreal,Spain
Spurs,England
Real Betis,Spain
Sevilla FC,Spain
Juventus,Italy
Benfica,Portugal
B. Leverkusen,Germany
Atlético Madrid,Spain
AS Roma,Italy
Man City,England
Aston Villa,England
River Plate,Argentina
Man Utd,England
Olympique Lyon,France
Brighton,England
Atlanta,United States
Paris SG,France
Inter,Italy
Sydney FC,Australia
Stoke City,England
Sunderland,England
Albirex Niigata,Japan
Odense BK,Denmark
Heart of Midl.,Scotland
St. Mirren,Scotland
Middlesbrough,England
Hellas Verona,Italy
Adelaide United,Australia
Melbourne City,Australia
Central Coast,Australia
FC Copenhagen,Denmark
Columbus,United States
Dundee United,Scotland
Brescia,Italy
Celtic,Scotland
FC St. Pauli,Germany
Cádiz CF,Spain
Fagiano Okayama,Japan
VfL Wolfsburg,Germany
Rennes,France
RSC Anderlecht,Belgium
Bor. Dortmund,Germany
Leicester,England
AC Milan,Italy
Fenerbahce,Turkey
Real Madrid,Spain
Club Brugge,Belgium
Royal Antwerp,Belgium
Everton,England
Lens,France
Galatasaray,Turkey
Newcastle,England
Flamengo,Brazil
Arsenal,England
Liverpool FC,England
Palmeiras,Brazil
Chelsea,England
UNAM Pumas,Mexico
West Ham,England
Barcelona,Spain
Abha,Saudi Arabia
Aris Saloniki,Greece
Seattle,United States
Al-Tai,Saudi Arabia
Hannover 96,Germany
Olympiacos,Greece
Besiktas,Turkey
Colombe Sport,Cameroon
SH Shenhua,China
Al-Nassr FC,Saudi Arabia
Coton Sport FC,Cameroon
Marseille,France
FC Nantes,France
Udinese Calcio,Italy
Philadelphia,United States
SSC Napoli,Italy
KV Mechelen,Belgium
Swansea,England
Dynamo Moscow,Russia
Brentford,England
Bayern Munich,Germany
BSC Young Boys,Switzerland
Red Star FC,Serbia
Montréal,United States
Panetolikos,Greece
Toronto,United States
FC Basel,Switzerland
Vancouver,United States
Minnesota,United States
Chaves,Portugal
Hatayspor,Turkey
KMSK Deinze,Belgium
FC Porto,Portugal
St. Johnstone,Scotland
Reading,England
LOSC Lille,France
Troyes,France
Herediano,Costa Rica
Millonarios,Colombia
Al-Wehda FC,Saudi Arabia
Saprissa,Costa Rica
Salt Lake,United States
Grecia,Costa Rica
Guanacasteca,Costa Rica
Puntarenas FC,Costa Rica
LD Alajuelense,Costa Rica
CD Lugo,Spain
Konyaspor,Turkey
Colorado 2,United States
Cincinnati,United States
AD San Carlos,Costa Rica
León,Mexico
NK Osijek,Croatia
RB Leipzig,Germany
Sassuolo,Italy
AEK Athens,Greece
Rangers,Scotland
E. Frankfurt,Germany
Atalanta BC,Italy
Torino,Italy
Dinamo Zagreb,Croatia
Hajduk Split,Croatia
CA Osasuna,Spain
Zenit S-Pb,Russia
VfB Stuttgart,Germany
RB Salzburg,Austria
TSG Hoffenheim,Germany
Union Berlin,Germany
Crystal Palace,England
Bröndby IF,Denmark
Espanyol,Spain
Hertha BSC,Germany
OGC Nice,France
Leeds,England
Trabzonspor,Turkey
SD Aucas,Ecuador
São Paulo,Brazil
KRC Genk,Belgium
Los Angeles,United States
Pachuca,Mexico
Imbabura SC,Ecuador
Independiente,Ecuador
LDU Quito,Ecuador
Santos Laguna,Mexico
FC Augsburg,Germany
CA Talleres,Argentina
Real Valladolid,Spain
CD Cruz Azul,Mexico
Newell's,Argentina
Monaco,France
Bor. M'gladbach,Germany
SC Freiburg,Germany
Werder Bremen,Germany
Southampton,England
KAS Eupen,Belgium
R. Strasbourg,France
Clermont Foot,France
Ajax,Netherlands
Hearts of Oak,Ghana
Bilbao Athletic,Spain
Bristol City,England
FC St. Gallen,Switzerland
Asante Kotoko,Ghana
Celta de Vigo,Spain
AJ Auxerre,France
KAA Gent,Belgium
Al-Sadd SC,Qatar
Sporting CP,Portugal
Persepolis,Iran
Sepahan,Iran
Al-Ahli SC,Qatar
Esteghlal FC,Iran
Shabab Dubai,United Arab Emirates
RSC Charleroi,Belgium
Ponferradina,Spain
Kayserispor,Turkey
Vejle BK,Denmark
Feyenoord,Netherlands
Omonia Nikosia,Cyprus
Shimizu S-Pulse,Japan
Kawasaki Front.,Japan
FC Tokyo,Japan
F. Düsseldorf,Germany
Nagoya Grampus,Japan
Real Sociedad,Spain
VfL Bochum,Germany
Shonan Bellmare,Japan
Sint-Truiden,Belgium
FC Schalke 04,Germany
Urawa Reds,Japan
CD Leganés,Spain
Stade Reims,France
Cercle Brugge,Belgium
América,Mexico
Monterrey,Mexico
PSV Eindhoven,Netherlands
Houston,United States
Deportivo Guadalajara,Mexico
Wolves,England
FC Juárez,Mexico
Cremonese,Italy
Wydad AC,Morocco
Stade Brestois,France
Qatar SC,Qatar
Fiorentina,Italy
Angers SCO,France
QPR,England
Burnley,England
Bari,Italy
Standard Liège,Belgium
Sampdoria,Italy
Toulouse,France
Al-Ittihad Club,Saudi Arabia
Heerenveen,Netherlands
Legia Warszawa,Poland
Al-Shabab,Saudi Arabia
Lech Poznan,Poland
Salernitana,Italy
Charlotte,United States
Bologna,Italy
Spezia Calcio,Italy
Benevento,Italy
Birmingham,England
Pogon Szczecin,Poland
Fulham,England
SC Braga,Portugal
Al-Duhail SC,Qatar
Al-Arabi SC,Qatar
Al-Gharafa SC,Qatar
Al-Rayyan SC,Qatar
Al-Wakrah SC,Qatar
Al-Ahli SFC,Saudi Arabia
Al-Hilal SFC,Saudi Arabia
Al-Fateh,Saudi Arabia
Rayo Vallecano,Spain
Sheff Utd,England
Alanyaspor,Turkey
Amiens SC,France
Nottm Forest,England
Pafos FC,Cyprus
Watford,England
UD Almería,Spain
Getafe,Spain
RCD Mallorca,Spain
Lazio,Italy
PAOK Salonika,Greece
Jeonbuk Hyundai,South Korea
Daejeon Citizen,South Korea
FC Seoul,South Korea
1.FSV Mainz 05,Germany
Gimcheon Sangmu,South Korea
Ulsan Hyundai,South Korea
Gamba Osaka,Japan
Daegu FC,South Korea
SD Taishan,China
Valencia,Spain
Montpellier,France
FC Luzern,Switzerland
Chicago,United States
FC Lugano,Switzerland
US Monastir,Tunisia
ES Sahel,Tunisia
Club Africain,Tunisia
El Ahly,Egypt
1. FC Köln,Germany
Kuwait SC,Kuwait
CS Sfaxien,Tunisia
FC Lorient,France
Esperance,Tunisia
SM Caen,France
Atromitos Athen,Greece
Ferencváros,Hungary
Ettifaq FC,Saudi Arabia
Zamalek,Egypt
New York City,United States
New York RB,United States
Nashville,United States
Norwich,England
Antalyaspor,Turkey
Luton,England
Miami,United States
Dallas,United States
Los Angeles,United States
Club Nacional,Uruguay
Orlando,United States
Independiente,Argentina
Vélez Sarsfield,Argentina
Athletico-PR,Brazil
AFC Wimbledon,England
Cardiff,England
Huddersfield,England
Bournemouth,England
MK Dons,England
Portsmouth,England
Swindon Town,England
