,tm-shirt-number,url,name,current-team,market-value,country
0,13,https://www.transfermarkt.com/guillermo-ochoa/marktwertverlauf/spieler/29559,Guillermo Ochoa,CF América,€1.20m ,Mexico
1,3,https://www.transfermarkt.com/cesar-montes/marktwertverlauf/spieler/387687,César Montes,CF Monterrey,€7.00m ,Mexico
2,2,https://www.transfermarkt.com/nestor-araujo/marktwertverlauf/spieler/64134,Néstor Araújo,CF América,€3.00m ,Mexico
3,6,https://www.transfermarkt.com/gerardo-arteaga/marktwertverlauf/spieler/469718,Gerardo Arteaga,KRC Genk,€5.00m ,Mexico
4,19,https://www.transfermarkt.com/jorge-sanchez/marktwertverlauf/spieler/356044,Jorge Sánchez,Ajax Amsterdam,€6.00m ,Mexico
5,4,https://www.transfermarkt.com/edson-alvarez/marktwertverlauf/spieler/401356,Edson Álvarez,Ajax Amsterdam,€35.00m ,Mexico
6,24,https://www.transfermarkt.com/luis-chavez/marktwertverlauf/spieler/331059,Luis Chávez,CF Pachuca,€6.50m ,Mexico
7,14,https://www.transfermarkt.com/erick-gutierrez/marktwertverlauf/spieler/298796,Érick Gutiérrez,PSV Eindhoven,€7.00m ,Mexico
8,16,https://www.transfermarkt.com/hector-herrera/marktwertverlauf/spieler/122043,Héctor Herrera,Houston Dynamo FC,€2.80m ,Mexico
9,10,https://www.transfermarkt.com/alexis-vega/marktwertverlauf/spieler/424689,Alexis Vega,Deportivo Guadalajara,€8.00m ,Mexico
10,25,https://www.transfermarkt.com/roberto-alvarado/marktwertverlauf/spieler/353583,Roberto Alvarado,Deportivo Guadalajara,€5.00m ,Mexico
11,9,https://www.transfermarkt.com/raul-jimenez/marktwertverlauf/spieler/206040,Raúl Jiménez,Wolverhampton Wanderers,€12.00m ,Mexico
12,11,https://www.transfermarkt.com/rogelio-funes-mori/marktwertverlauf/spieler/135082,Rogelio Funes Mori,CF Monterrey,€3.50m ,Mexico
13,12,https://www.transfermarkt.com/rodolfo-cota/marktwertverlauf/spieler/71401,Rodolfo Cota,Club León FC,€1.20m ,Mexico
14,1,https://www.transfermarkt.com/alfredo-talavera/marktwertverlauf/spieler/50965,Alfredo Talavera,FC Juárez,€800k ,Mexico
15,5,https://www.transfermarkt.com/johan-vasquez/marktwertverlauf/spieler/532937,Johan Vásquez,US Cremonese,€3.60m ,Mexico
16,15,https://www.transfermarkt.com/hector-moreno/marktwertverlauf/spieler/51046,Héctor Moreno,CF Monterrey,€1.50m ,Mexico
17,23,https://www.transfermarkt.com/jesus-gallardo/marktwertverlauf/spieler/344854,Jesús Gallardo,CF Monterrey,€3.00m ,Mexico
18,26,https://www.transfermarkt.com/kevin-alvarez/marktwertverlauf/spieler/572705,Kevin Álvarez,CF Pachuca,€6.00m ,Mexico
19,7,https://www.transfermarkt.com/luis-romo/marktwertverlauf/spieler/532938,Luis Romo,CF Monterrey,€6.50m ,Mexico
20,8,https://www.transfermarkt.com/carlos-rodriguez/marktwertverlauf/spieler/534620,Carlos Rodríguez,CD Cruz Azul,€8.00m ,Mexico
21,17,https://www.transfermarkt.com/orbelin-pineda/marktwertverlauf/spieler/334042,Orbelín Pineda,AEK Athens,€4.00m ,Mexico
22,18,https://www.transfermarkt.com/andres-guardado/marktwertverlauf/spieler/20506,Andrés Guardado,Real Betis Balompié,€1.50m ,Mexico
23,22,https://www.transfermarkt.com/hirving-lozano/marktwertverlauf/spieler/316889,Hirving Lozano,SSC Napoli,€28.00m ,Mexico
24,21,https://www.transfermarkt.com/uriel-antuna/marktwertverlauf/spieler/355998,Uriel Antuna,CD Cruz Azul,€4.00m ,Mexico
25,20,https://www.transfermarkt.com/henry-martin/marktwertverlauf/spieler/286339,Henry Martín,CF América,€6.00m ,Mexico
